,Gene,Old Human,Old Organoid,Young Human,Young Organoid
0,A1BG,10781.0,68.0,4661.0,65.0
1,A1BG-AS1,120.0,5.0,41.0,8.0
2,A1CF,3501.0,497.0,811.9989999999998,1064.0010000000002
3,A2M,25953.485,9190.209000000003,23252.516,26049.344999999994
4,A2M-AS1,24.0,15.0,22.0,22.0
5,A2ML1,0.0,1.0,1.0,1.0
6,A2MP1,2.0,3.0,7.0,1.0
7,A3GALT2,1.0,2.0,1.0,6.0
8,A4GALT,5.0,198.0,110.0,43.0
9,A4GNT,0.0,1.0,0.0,1.0
10,AA06,0.0,0.0,0.0,1.0
11,AAAS,285.0,172.0,111.0,60.0
12,AACS,31.0,268.0,143.0,103.0
13,AACSP1,0.0,4.0,0.0,0.0
14,AADAC,3542.982,422.6410000000001,2194.0,940.0
15,AADACL2,0.0,0.0,2.0,0.0
16,AADACL3,0.0,0.0,0.0,0.0
17,AADACL4,0.0,2.0,0.0,0.0
18,AADAT,444.0,29.0,19.0,26.0
19,AAED1,28.0,65.0,65.0,102.0
20,AAGAB,137.0,159.0,177.0,265.0
21,AAK1,170.15,249.68600000000004,127.54700000000003,141.0
22,AAMDC,141.0,68.0,73.0,69.0
23,AAMP,726.0,503.0,199.0,179.0
24,AANAT,1.0,1.0,0.0,1.0
25,AAR2,244.0,262.001,145.0,246.0
26,AARD,0.0,8.0,1.0,2.0
27,AARS,1038.0,873.0,853.0,594.0
28,AARS2,165.0,171.0,60.0,132.001
29,AARSD1,203.0,111.15200000000002,55.30000000000001,50.934
30,AASDH,80.0,79.0,88.0,110.0
31,AASDHPPT,230.0,129.0,85.0,263.0
32,AASS,2397.0,40.0,2061.0,76.0
33,AATF,280.0,242.0,96.0,121.0
34,AATK,6.0,12.0,11.0,13.0
35,AATK-AS1,0.0,1.0,0.0,0.0
36,ABAT,6018.001,149.0,522.9999999999998,297.0
37,ABCA1,572.0,289.999,1595.0,496.999
38,ABCA10,25.723,28.839,36.748000000000005,13.023
39,ABCA11P,23.375,46.767,15.313,11.611000000000004
40,ABCA12,0.0,10.0,1.0,8.0
41,ABCA13,15.0,9.0,5.0,4.0
42,ABCA17P,2.0,23.0,0.0,20.029999999999998
43,ABCA2,821.0,987.0,637.0,344.0
44,ABCA3,21.0,194.779,23.0,128.99299999999994
45,ABCA4,28.0,9.0,22.0,66.0
46,ABCA5,150.0,192.0,409.001,162.0
47,ABCA6,1709.0,297.0,258.0,486.001
48,ABCA7,87.0,258.999,56.0,112.0
49,ABCA8,227.62100000000004,6.428,280.644,24.543
50,ABCA9,272.25699999999995,34.0,57.877,10.0
51,ABCB1,465.77,1116.3759999999997,196.98500000000007,1517.2249999999995
52,ABCB10,223.0,130.00099999999998,97.0,210.0
53,ABCB11,1636.0,82.999,618.0,73.0
54,ABCB4,2253.8779999999997,348.51700000000005,1753.5170000000003,283.93399999999997
55,ABCB5,6.0,5.0,3.0,0.0
56,ABCB6,854.0,388.0,617.0,149.0
57,ABCB7,168.0,144.0,90.0,159.0
58,ABCB8,311.0,246.0,63.0,106.0
59,ABCB9,13.0,58.0,17.0,24.0
60,ABCC1,3.0,293.0,101.0,129.0
61,ABCC10,50.0,128.0,161.999,65.0
62,ABCC11,112.0,23.0,46.0,13.0
63,ABCC12,4.0,0.0,2.0,0.0
64,ABCC13,2.0,1.0,1.0,0.0
65,ABCC2,4399.999,1204.9989999999998,2737.001,1427.9989999999998
66,ABCC3,4652.0,2029.9989999999998,1448.0020000000004,576.0
67,ABCC4,16.0,55.0,43.0,138.00099999999998
68,ABCC5,61.0,47.0,90.0,70.0
69,ABCC5-AS1,0.0,0.0,0.0,0.0
70,ABCC6,1574.573,318.80099999999993,712.38,195.062
71,ABCC6P1,309.747,101.14500000000001,292.033,77.135
72,ABCC6P2,53.47599999999999,51.662000000000006,42.972,13.017
73,ABCC8,11.0,3.0,3.0,2.0
74,ABCC9,857.0,30.0,454.0,46.0
75,ABCD1,262.0,189.0,94.0,48.0
76,ABCD2,2.0,5.0,5.0,6.0
77,ABCD3,1186.0,405.71000000000004,1157.0,1066.999
78,ABCD4,191.0,144.99900000000002,130.00199999999995,74.0
79,ABCE1,321.0,364.0,290.0,880.0
80,ABCF1,761.0,616.0,613.0,223.0
81,ABCF2,184.0,268.0,203.0,74.0
82,ABCF3,381.0,197.0,452.0,194.0
83,ABCG1,14.0,14.0,156.0,68.632
84,ABCG2,476.0,25.0,25.0,39.0
85,ABCG4,1.0,1.0,4.0,11.742
86,ABCG5,758.999,57.998999999999995,856.999,70.001
87,ABCG8,1269.999,151.0,265.0,160.0
88,ABHD1,24.0,11.0,34.0,8.0
89,ABHD10,300.0,108.0,81.00099999999998,232.0
90,ABHD11,72.0,78.87300000000002,77.001,18.0
91,ABHD12,349.999,397.0,225.0,143.00099999999998
92,ABHD12B,1.0,4.0,1.0,4.0
93,ABHD13,65.0,68.0,37.0,107.0
94,ABHD14A,116.0,41.0,72.369,14.670999999999992
95,ABHD14A-ACY1,86.278,206.227,45.485,196.981
96,ABHD14B,2120.0,278.0,206.00099999999998,130.0
97,ABHD15,712.0,180.0,65.0,88.0
98,ABHD16A,353.0,148.0,51.0,127.0
99,ABHD16B,11.0,9.0,5.0,7.0
100,ABHD17A,216.0,301.999,70.99900000000002,9.0
101,ABHD17B,115.999,107.0,103.0,61.0
102,ABHD17C,65.0,71.0,39.0,46.0
103,ABHD2,7188.999,1648.9989999999998,1018.0,1018.0
104,ABHD3,190.0,104.0,136.0,94.0
105,ABHD4,318.0,323.0,280.0,113.0
106,ABHD5,149.0,122.0,84.0,136.0
107,ABHD6,741.0,95.0,509.0,41.0
108,ABHD8,290.0,183.0,163.0,42.0
109,ABI1,103.0,212.0,82.00099999999998,95.99900000000002
110,ABI2,61.998999999999995,220.0,61.0,54.0
111,ABI3,18.0,1.0,109.0,23.0
112,ABI3BP,5.0,51.0,16.0,84.99900000000002
113,ABL1,364.0,497.0,167.0,249.0
114,ABL2,87.0,279.001,90.0,111.99900000000002
115,ABLIM1,1108.0,729.001,281.001,405.0
116,ABLIM2,8.0,124.99900000000002,37.0,6.0
117,ABLIM3,2375.0,1522.0,333.001,466.0
118,ABO,0.0,2.0,4.0,0.0
119,ABR,8.0,325.001,97.0,126.47500000000002
120,ABRA,0.0,2.0,0.0,0.0
121,ABRACL,528.0,133.0,105.0,467.0
122,ABT1,95.0,169.0,54.0,93.0
123,ABTB1,117.0,50.998999999999995,56.0,15.0
124,ABTB2,222.0,126.0,49.0,58.0
125,AC000099.1,0.0,1.0,0.0,0.0
126,AC000124.1,0.0,0.0,0.0,0.0
127,AC002116.7,1.0,12.0,3.0,6.0
128,AC002398.5,15.0,8.0,6.0,6.0
129,AC002454.1,2.0,5.0,1.0,4.0
130,AC002463.3,0.0,0.0,1.0,0.0
131,AC002480.3,4.0,3.0,1.0,1.0
132,AC002511.1,4.0,2.0,4.0,3.0
133,AC003051.1,1.0,2.0,3.0,0.0
134,AC003102.3,12.0,4.0,8.0,7.0
135,AC003665.1,9.0,17.0,11.0,22.0
136,AC003958.2,3.0,0.0,1.0,0.0
137,AC003984.1,0.0,1.0,0.0,0.0
138,AC004019.13,7.0,3.0,6.0,2.0
139,AC004053.1,2.011,3.0,2.003,1.0
140,AC004603.4,0.0,1.0,1.0,0.0
141,AC004862.6,105.0,0.0,18.0,1.0
142,AC004893.11,22.0,19.0,27.0,18.0
143,AC005022.1,2.0,2.0,5.0,1.0
144,AC005029.1,0.0,0.0,0.0,0.0
145,AC005062.2,0.0,0.0,0.0,1.0
146,AC005235.1,1.0,0.0,0.0,0.0
147,AC005264.2,1.0,1.0,2.0,0.0
148,AC005358.3,0.0,0.0,0.0,0.0
149,AC005550.4,2.0,1.0,0.0,4.0
150,AC005592.2,1.0,2.0,1.0,2.0
151,AC005594.3,8.0,9.0,8.0,7.0
152,AC006004.1,0.0,1.0,1.0,0.0
153,AC006145.4,1.0,0.0,0.0,1.0
154,AC006196.1,0.0,0.0,0.0,0.0
155,AC006262.5,0.0,20.712999999999994,0.0,5.0
156,AC006272.1,4.0,0.0,2.0,0.0
157,AC006372.4,0.0,0.0,1.0,0.0
158,AC007038.7,7.0,4.0,5.0,4.0
159,AC007040.7,0.0,1.0,1.0,0.0
160,AC007099.1,0.0,1.0,4.0,4.0
161,AC007131.1,3.0,0.0,1.0,1.0
162,AC007163.3,3.0,2.0,2.0,0.0
163,AC007163.6,1.0,5.0,2.0,5.0
164,AC007246.3,44.0,24.0,23.0,25.0
165,AC007359.6,0.0,0.0,1.0,0.0
166,AC007365.1,0.0,0.0,0.0,0.0
167,AC007386.2,2.0,2.0,4.0,3.0
168,AC007392.3,0.0,0.0,0.0,0.0
169,AC007392.4,0.0,0.0,0.0,0.0
170,AC007403.2,0.0,0.0,0.0,0.0
171,AC007405.4,3.0,2.0,2.0,0.0
172,AC007461.2,0.0,0.0,3.0,0.0
173,AC007463.2,0.0,0.0,0.0,0.0
174,AC007551.3,4.0,5.0,4.0,6.0
175,AC007682.1,2.0,2.0,4.0,0.0
176,AC007740.1,2.0,0.0,2.0,2.0
177,AC007743.1,0.0,7.0,0.0,2.0
178,AC007750.5,1.0,2.0,1.0,1.0
179,AC007773.2,3.0,4.0,2.0,5.0
180,AC007879.2,4.0,4.0,2.0,1.0
181,AC007880.1,0.0,2.0,0.0,0.0
182,AC007966.1,2.0,0.0,1.0,0.0
183,AC008697.1,1.0,3.0,0.0,0.0
184,AC008703.1,0.0,0.0,0.0,0.0
185,AC009120.4,1.0,0.0,0.0,0.0
186,AC009227.2,2.0,1.0,2.0,4.0
187,AC009264.1,2.0,0.0,2.0,1.0
188,AC009299.3,28.0,27.0,14.0,13.0
189,AC009473.1,2.0,2.0,1.0,2.0
190,AC009501.4,7.0,5.0,12.0,14.0
191,AC009518.4,0.0,0.0,0.0,2.0
192,AC009948.5,12.0,27.001000000000005,12.0,13.0
193,AC010091.1,1.0,6.0,1.0,5.0
194,AC010127.3,6.0,1.026,3.0,2.0
195,AC010226.4,8.0,6.0,4.0,7.0
196,AC010524.2,9.0,4.0,8.0,2.002
197,AC010731.4,0.0,0.0,0.0,0.0
198,AC010890.1,1.0,0.0,1.0,0.0
199,AC010975.1,0.0,0.0,0.0,0.0
200,AC010987.6,0.0,0.0,0.0,1.0
201,AC011298.2,0.0,0.0,0.0,2.0
202,AC011343.1,3.0,0.0,0.0,0.0
203,AC011518.1,0.0,0.0,0.0,0.0
204,AC011609.3,0.0,0.0,0.0,0.0
205,AC011718.2,0.0,0.0,0.0,0.0
206,AC011738.4,0.0,10.0,1.0,15.0
207,AC011747.4,11.0,4.0,7.0,2.0
208,AC011747.7,13.0,16.0,13.0,8.0
209,AC011899.9,9.0,1.0,47.0,0.0
210,AC012075.2,0.0,0.0,0.0,1.0
211,AC012309.5,4.0,11.13,1.416,6.001
212,AC012314.8,28.0,34.0,8.0,11.0
213,AC012494.1,1.0,0.0,2.0,0.0
214,AC012507.3,0.0,1.0,0.0,0.0
215,AC015922.6,0.0,0.0,0.0,0.0
216,AC016582.2,0.0,0.0,0.0,3.0
217,AC016629.8,33.0,15.0,17.0,5.0
218,AC016738.3,3.0,0.0,0.0,1.0
219,AC016910.1,0.0,0.0,0.0,0.0
220,AC016995.3,0.0,0.0,0.0,2.0
221,AC017060.1,1.0,9.0,0.0,8.0
222,AC018464.3,0.0,2.0,0.0,4.0
223,AC018470.4,0.0,3.0,0.0,0.0
224,AC018647.3,3.0,4.0,2.0,2.0
225,AC018705.5,2.0,0.0,0.0,0.0
226,AC018742.1,0.0,0.0,0.0,0.0
227,AC018799.1,3.0,0.0,0.0,0.0
228,AC019048.1,0.0,0.0,0.0,0.0
229,AC019118.2,0.0,0.0,0.0,0.0
230,AC020571.3,1.0,7.0,1.0,4.0
231,AC022007.5,12.0,13.0,9.0,5.0
232,AC022173.2,0.0,1.0,0.0,0.0
233,AC022311.1,0.0,0.0,0.0,0.0
234,AC024592.9,0.0,2.0,1.0,1.0
235,AC027269.2,0.0,0.0,0.0,0.0
236,AC037193.1,0.0,0.0,0.0,0.0
237,AC058791.1,4.0,14.0,7.0,4.0
238,AC068831.10,4.0,9.0,1.0,4.0
239,AC068858.1,0.0,0.0,0.0,0.0
240,AC069277.1,0.0,0.0,0.0,0.0
241,AC072062.1,3.0,25.0,2.0,9.0
242,AC073128.10,0.0,0.0,0.0,0.0
243,AC073133.1,4.0,0.0,1.0,2.0
244,AC073283.4,4.0,2.0,7.0,0.0
245,AC073321.3,0.0,0.0,0.0,0.0
246,AC073628.1,0.0,0.0,0.0,0.0
247,AC074138.3,19.0,8.0,8.0,8.0
248,AC074286.1,25.0,18.075000000000003,10.981,11.046
249,AC074289.1,17.0,6.0,12.0,1.0
250,AC078941.1,1.0,1.0,0.0,0.0
251,AC079117.1,0.0,0.0,0.0,0.0
252,AC079145.4,4.0,9.0,6.0,2.0
253,AC079586.1,0.0,0.0,0.0,0.0
254,AC079610.2,2.0,1.0,1.0,1.0
255,AC079776.3,0.0,0.0,0.0,0.0
256,AC087859.1,2.0,0.0,1.0,1.0
257,AC090044.1,0.0,0.0,1.0,0.0
258,AC090505.6,0.0,1.0,0.0,0.0
259,AC091729.9,61.0,20.0,19.001000000000005,13.0
260,AC091878.1,0.0,0.0,2.0,2.0
261,AC091969.1,2.0,0.0,1.0,0.0
262,AC092295.7,6.0,8.0,4.0,5.0
263,AC093375.1,0.0,4.0,2.0,1.0
264,AC093391.2,10.0,15.0,14.0,19.0
265,AC093590.1,1.0,0.0,1.0,0.0
266,AC093690.1,0.0,1.0,1.0,1.0
267,AC095067.1,7.0,8.0,3.0,3.0
268,AC096559.1,2.0,1.0,0.0,0.0
269,AC097468.4,4.0,3.0,1.0,0.0
270,AC097500.2,6.0,4.0,5.0,4.0
271,AC097662.2,7.0,4.0,3.0,4.0
272,AC098823.3,3.0,2.0,5.0,1.0
273,AC099342.1,0.0,0.0,0.0,0.0
274,AC104024.1,3.0,0.0,1.0,1.0
275,AC104134.2,2.0,6.0,3.0,3.0
276,AC104653.1,3.0,7.0,3.0,3.0
277,AC104654.1,0.0,3.0,0.0,2.0
278,AC104654.2,0.0,5.0,3.0,4.0
279,AC104655.2,5.0,5.0,6.0,5.0
280,AC104777.2,0.0,0.0,1.0,0.0
281,AC104777.4,3.0,0.0,2.0,0.0
282,AC104820.2,1.0,0.0,4.0,1.0
283,AC105053.3,4.0,4.0,3.0,3.0
284,AC105253.1,1.0,1.0,2.0,0.0
285,AC105339.1,0.0,0.0,0.0,0.0
286,AC105760.3,3.0,3.0,0.0,4.0
287,AC107070.1,0.0,0.0,0.0,0.0
288,AC107622.1,3.0,0.0,4.0,3.0
289,AC108142.1,1.0,1.0,1.0,1.0
290,AC109828.1,3.0,3.0,1.0,6.0
291,AC113607.2,0.0,0.0,0.0,0.0
292,AC116035.1,5.0,2.0,4.0,1.0
293,AC125421.1,0.0,2.0,1.0,8.0
294,AC131097.3,9.0,1.0,4.0,1.0
295,AC136896.1,0.0,0.0,0.0,0.0
296,AC137932.6,0.0,1.0,1.0,1.0
297,AC144449.1,14.0,10.0,28.0,5.0
298,AC145110.1,1.0,1.0,1.0,0.0
299,AC147651.4,1.0,1.0,15.0,2.0
300,AC159540.1,12.237,12.563,2.386,4.317
301,AC159540.1-2,42.611,85.02899999999998,24.152000000000005,9.861
302,AC226118.1,0.0,0.0,3.0,0.0
303,ACAA1,10318.0,741.0010000000002,3941.0,634.9989999999998
304,ACAA2,13524.0,3179.0,3558.0,5631.0
305,ACACA,339.001,465.99800000000005,123.0,421.001
306,ACACB,4063.0,461.0,1640.999,272.999
307,ACAD10,404.0,170.0,203.0,108.0
308,ACAD11,2396.4559999999997,170.46399999999994,606.284,242.779
309,ACAD8,242.0,126.0,92.0,118.99900000000002
310,ACAD9,400.999,309.0,121.0,209.0
311,ACADL,591.0,87.0,162.0,33.0
312,ACADM,1815.999,217.0,337.0,569.0
313,ACADS,2724.0,286.0,1669.0,257.0
314,ACADSB,4491.0,395.81100000000004,597.0,535.0
315,ACADVL,9833.0,3837.0,5460.0,1656.0010000000002
316,ACAN,0.0,1.0,0.0,11.0
317,ACAP1,20.0,15.0,57.0,20.0
318,ACAP2,144.0,172.0,111.0,144.005
319,ACAP3,422.0,1165.0,182.0,218.99900000000002
320,ACAT1,1838.0010000000002,533.0,5806.001,1324.0
321,ACAT2,453.0,923.0,376.0,629.0
322,ACBD3,281.0,286.0,146.0,500.0
323,ACBD4,1229.0,156.99900000000002,501.999,57.99999999999997
324,ACBD5,658.0,190.0,87.0,261.001
325,ACBD6,89.0,125.0,66.0,91.0
326,ACBD7,8.0,62.0,3.0,29.0
327,ACCS,200.99900000000002,60.0,103.0,13.0
328,ACCSL,0.0,1.0,0.0,0.0
329,ACD,56.0,70.0,35.0,53.0
330,ACE,8.0,8.0,51.0,114.0
331,ACE2,29.0,7.0,8.0,3.0
332,ACER1,6.0,1.0,2.0,0.0
333,ACER2,6.0,22.0,16.0,30.0
334,ACER3,51.0,81.0,98.0,78.0
335,ACHE,11.0,56.0,89.0,37.0
336,ACIN1,697.999,883.0,409.001,278.9989999999998
337,ACKR2,146.0,41.0,59.0,88.0
338,ACKR3,19.0,143.0,74.0,31.0
339,ACKR4,1.0,4.0,10.0,5.0
340,ACLY,260.0,1739.0,189.0,845.0
341,ACMSD,810.999,304.0,1677.002,333.001
342,ACN9,67.0,64.0,62.0,101.0
343,ACO1,1986.0,537.999,1107.001,491.0010000000002
344,ACO2,1168.0,662.0,526.0,409.0
345,ACOT1,1239.615,61.05900000000001,409.398,94.13300000000001
346,ACOT11,21.0,29.0,10.0,21.0
347,ACOT12,1098.0,131.0,920.0,164.0
348,ACOT13,545.0,131.0,396.0,330.0
349,ACOT2,1630.8899999999999,295.55999999999995,1440.036,396.2009999999999
350,ACOT4,202.003,82.91699999999997,147.008,63.02900000000001
351,ACOT6,32.0,2.0,5.0,0.0
352,ACOT7,243.735,261.76200000000006,156.82,298.30200000000013
353,ACOT8,143.0,80.0,39.0,113.0
354,ACOT9,101.0,211.0,69.0,134.0
355,ACOX1,4678.0,645.999,672.0,696.0
356,ACOX2,2198.0,76.0,471.0,78.0
357,ACOX3,244.0,128.0,49.0,73.0
358,ACOXL,0.0,2.0,1.0,2.0
359,ACP1,779.0,467.999,330.0,579.0
360,ACP2,870.0,252.0,234.0,160.0
361,ACP5,27.0,7.0,309.001,7.0
362,ACP6,150.0,51.0,57.0,11.0
363,ACPL2,67.0,41.0,32.0,117.0
364,ACPP,1.0,15.0,7.0,19.0
365,ACPT,0.0,4.0,0.0,0.0
366,ACR,17.0,8.0,3.0,3.0
367,ACRBP,26.0,3.0,12.0,4.0
368,ACRC,21.0,10.0,34.0,20.0
369,ACRV1,1.0,1.0,0.0,0.0
370,ACSBG1,2.0,15.0,0.0,12.0
371,ACSBG2,1.0,0.0,0.0,0.0
372,ACSF2,510.0,260.0,190.0,135.0
373,ACSF3,263.0,114.00099999999998,139.00099999999998,93.00099999999998
374,ACSL1,12547.999,3771.0,4181.0,3527.0
375,ACSL3,311.0,400.0,436.0,199.0
376,ACSL4,47.0,1720.9989999999998,439.0,1596.0
377,ACSL5,1300.0,549.0010000000002,1157.0,627.001
378,ACSL6,44.0,13.0,20.0,8.0
379,ACSM1,24.002000000000002,14.0,6.0,14.0
380,ACSM2A,6395.664,485.058,204.92600000000004,114.821
381,ACSM2B,6363.145,185.92000000000007,565.9519999999999,119.17599999999999
382,ACSM3,1070.0,72.999,335.001,109.99900000000002
383,ACSM4,0.0,1.0,0.0,0.0
384,ACSM5,2893.0,144.0,520.0,163.0
385,ACSS1,57.0,183.0,115.0,55.0
386,ACSS2,917.0,610.999,377.999,200.0
387,ACSS3,633.999,151.99900000000002,731.0,188.99900000000002
388,ACTA1,3.027,8.009,12.056,41.738
389,ACTA2,55.0,335.9989999999999,108.027,471.0709999999999
390,ACTA2-AS1,0.0,0.0,0.0,0.0
391,ACTB,13305.372,21492.716,16356.375999999997,11814.363000000005
392,ACTBL2,0.0,10.0,0.0,49.004000000000005
393,ACTC1,0.0,6.0,0.0,49.90599999999999
394,ACTG1,4370.321,11583.775999999998,10355.409000000001,4708.241999999998
395,ACTG1P4,13.0,6.001,5.0,33.607
396,ACTG2,3.0,19.0,0.0,253.351
397,ACTL10,5.0,11.0,14.0,16.0
398,ACTL6A,108.0,193.0,71.0,284.0
399,ACTL6B,1.0,1.0,0.0,1.0
400,ACTL7A,0.0,0.0,0.0,0.0
401,ACTL7B,0.0,0.0,1.0,1.0
402,ACTL8,0.0,24.0,0.0,31.0
403,ACTL9,0.0,2.0,0.0,0.0
404,ACTN1,423.98600000000005,1576.6560000000009,1166.1309999999999,1523.6350000000002
405,ACTN1-AS1,0.0,5.0,0.0,1.0
406,ACTN2,0.0,12.0,2.0,18.38
407,ACTN3,1.0,2.0,1.0,37.232
408,ACTN4,2622.163,3867.8290000000015,2760.411,1194.2489999999998
409,ACTR10,188.0,206.0,110.0,285.0
410,ACTR1A,402.0,521.001,94.0,221.0
411,ACTR1B,379.0,439.999,242.0,104.66499999999996
412,ACTR2,754.0,997.0,650.0,872.0
413,ACTR3,584.484,583.8359999999998,255.76100000000008,519.8879999999999
414,ACTR3B,77.135,61.751999999999995,95.74999999999999,32.55
415,ACTR3BP2,0.0,0.0,0.0,1.0
416,ACTR3BP5,0.0,0.0,0.0,0.0
417,ACTR3C,41.772000000000006,55.001,56.79199999999999,18.948999999999998
418,ACTR5,65.0,72.0,47.0,16.0
419,ACTR6,87.0,39.0,43.998999999999995,110.999
420,ACTR8,103.0,142.0,112.0,88.0
421,ACTRT1,0.0,0.0,0.0,0.0
422,ACTRT2,0.0,0.0,0.0,0.0
423,ACTRT3,21.0,28.0,21.0,20.0
424,ACVR1,102.0,216.0,61.0,96.0
425,ACVR1B,382.0,344.0,130.0,174.0
426,ACVR1C,24.0,8.0,32.0,7.0
427,ACVR2A,113.0,66.0,38.0,47.0
428,ACVR2B,64.0,64.0,24.0,40.0
429,ACVR2B-AS1,11.0,8.0,7.0,8.0
430,ACVRL1,7.0,13.0,70.0,65.0
431,ACY1,2975.0,569.0,1417.27,275.0
432,ACY3,201.0,173.0,121.0,88.0
433,ACYP1,21.0,48.998999999999995,23.0,39.0
434,ACYP2,66.0,37.0,56.0,51.0
435,AD000090.2,19.0,18.0,25.0,14.0
436,ADA,27.0,102.0,54.0,69.00099999999998
437,ADAD1,0.0,0.0,0.0,0.0
438,ADAD2,1.0,8.0,2.0,2.0
439,ADAL,113.0,36.0,94.0,53.998999999999995
440,ADAM10,257.0,390.0,288.0,345.0
441,ADAM11,6.0,19.0,4.0,14.0
442,ADAM12,3.0,107.0,8.0,132.0
443,ADAM15,320.999,749.0,765.999,154.0
444,ADAM17,67.0,198.0,61.0,77.0
445,ADAM18,0.0,1.0,0.0,1.0
446,ADAM19,82.0,53.0,200.0,109.0
447,ADAM1A,33.0,25.0,20.0,14.0
448,ADAM2,0.0,0.0,0.0,0.0
449,ADAM20,2.0,0.0,6.0,1.0
450,ADAM20P1,9.0,6.0,8.0,3.0
451,ADAM21,1.0,14.0,1.0,3.0
452,ADAM21P1,0.0,1.363,0.0,3.916
453,ADAM22,3.0,12.0,3.0,14.0
454,ADAM23,1.0,5.0,5.0,13.0
455,ADAM28,1.0,2.0,6.0,8.0
456,ADAM29,0.0,0.0,0.0,0.0
457,ADAM30,0.0,1.0,0.0,0.0
458,ADAM32,3.0,7.0,3.0,5.0
459,ADAM33,0.0,34.998999999999995,3.0,14.0
460,ADAM3A,0.0,0.0,0.0,0.0
461,ADAM5,0.0,3.0,0.0,3.0
462,ADAM7,0.0,0.0,0.0,0.0
463,ADAM8,87.0,8.0,49.0,8.0
464,ADAM9,152.0,772.0,151.0,930.0
465,ADAMDEC1,3.0,3.0,1.0,5.0
466,ADAMTS1,51.0,160.0,112.0,131.0
467,ADAMTS10,50.0,126.0,244.00099999999998,117.0
468,ADAMTS12,2.0,73.0,17.0,160.0
469,ADAMTS13,66.0,16.0,213.0,16.0
470,ADAMTS14,0.0,16.0,7.0,15.0
471,ADAMTS15,2.0,50.0,24.0,19.0
472,ADAMTS16,1.0,3.0,1.0,1.0
473,ADAMTS17,82.0,38.0,418.0,25.0
474,ADAMTS18,0.0,19.0,1.0,4.0
475,ADAMTS19,0.0,0.0,2.0,0.0
476,ADAMTS2,14.0,150.0,396.0,937.0
477,ADAMTS20,0.0,6.0,1.0,3.0
478,ADAMTS3,6.0,3.0,8.0,2.0
479,ADAMTS4,20.0,18.0,23.0,171.0
480,ADAMTS5,8.0,62.0,73.0,21.0
481,ADAMTS6,5.0,24.0,2.0,45.0
482,ADAMTS7,5.0,149.382,24.946,160.749
483,ADAMTS7P1,1.0,13.192,1.156,6.2509999999999994
484,ADAMTS8,2.0,6.0,2.0,5.0
485,ADAMTS9,9.0,202.0,28.0,117.99900000000002
486,ADAMTS9-AS2,0.0,20.0,2.0,11.0
487,ADAMTSL1,3.0,14.0,16.0,7.0
488,ADAMTSL2,49.0,13.0,94.0,24.0
489,ADAMTSL3,91.0,62.0,107.0,87.0
490,ADAMTSL4,420.0,361.0,239.0,96.0
491,ADAMTSL4-AS1,7.0,5.0,7.0,4.0
492,ADAMTSL5,44.0,54.0,12.0,29.0
493,ADAP1,12.0,30.0,63.0,8.0
494,ADAP2,35.0,6.0,192.0,5.0
495,ADAR,985.0,1205.9989999999998,140.00099999999998,474.0010000000002
496,ADARB1,124.999,165.00099999999998,59.0,169.99900000000002
497,ADARB2,2.0,0.0,3.0,3.0
498,ADARB2-AS1,0.0,0.0,0.0,0.0
499,ADAT1,80.0,75.16899999999998,71.425,34.0
500,ADAT2,78.0,39.0,73.0,13.0
501,ADAT3,30.0,64.29499999999999,48.0,39.0
502,ADC,8.0,28.0,14.0,15.0
503,ADCK1,67.0,43.0,54.0,38.0
504,ADCK2,158.0,110.0,152.0,44.0
505,ADCK3,1232.999,309.0709999999999,386.0440000000001,298.0060000000001
506,ADCK4,339.0,225.0,130.00099999999998,57.0
507,ADCK5,108.0,47.0,25.0,23.0
508,ADCY1,507.0,27.0,791.0,13.0
509,ADCY10,63.0,13.0,20.0,7.0
510,ADCY10P1,18.0,8.018,17.064,5.009
511,ADCY2,1.0,0.0,2.0,1.0
512,ADCY3,12.0,109.0,42.0,65.0
513,ADCY4,8.0,9.0,28.0,32.0
514,ADCY5,30.0,12.0,42.0,4.0
515,ADCY6,325.0,312.999,33.999000000000024,71.0
516,ADCY7,12.0,58.0,111.0,35.0
517,ADCY8,1.0,35.0,0.0,5.0
518,ADCY9,633.0,352.0,96.0,223.0
519,ADCYAP1,0.0,2.0,2.0,1.0
520,ADCYAP1R1,2.0,1.0,1.0,4.0
521,ADD1,1065.001,851.9989999999998,280.0,232.0
522,ADD2,6.0,1.0,10.0,0.0
523,ADD3,84.0,300.0,40.0,713.0010000000002
524,ADD3-AS1,1.0,5.0,1.0,5.0
525,ADGB,0.0,2.0,0.0,3.0
526,ADH1A,3536.34,22.023000000000003,5853.277,199.74600000000004
527,ADH1B,48988.46,362.46000000000004,4558.013000000001,3623.7839999999997
528,ADH1C,6985.251999999999,216.812,1414.735,654.027
529,ADH4,4782.0,19.0,3472.0,85.0
530,ADH5,1663.0,828.0,1185.0,1189.0
531,ADH6,2961.0020000000004,95.0,902.0,142.0
532,ADH7,5.0,0.0,1.0,1.0
533,ADHFE1,1048.0,30.0,93.0,44.0
534,ADI1,8715.0,634.0,537.0,458.9989999999998
535,ADIG,0.0,1.0,0.0,1.0
536,ADIPOQ,0.0,1.0,1.0,4.0
537,ADIPOQ-AS1,1.0,0.0,2.0,0.0
538,ADIPOR1,956.0,467.0,357.0,257.0
539,ADIPOR2,1185.0,653.0,341.0,301.999
