,Gene,Old Human,Old Organoid,Young Human,Young Organoid
25979,TAB1,246.0,176.0,132.0,101.0
25980,TAB2,488.0,315.0,278.0,87.0
25981,TAB3,416.0,298.001,220.0,342.999
25982,TAC1,1.0,1.0,1.0,0.0
25983,TAC3,0.0,5.0,1.0,1.0
25984,TAC4,0.0,1.0,0.0,0.0
25985,TACC1,305.999,469.999,68.00099999999998,252.0
25986,TACC2,364.0,292.999,74.00099999999998,95.99900000000002
25987,TACC3,206.0,498.0,90.0,205.0
25988,TACO1,244.0,163.0,76.0,202.0
25989,TACR1,0.0,1.0,4.0,0.0
25990,TACR2,0.0,5.0,2.0,4.0
25991,TACR3,0.0,0.0,0.0,0.0
25992,TACSTD2,6.0,518.0,14.0,205.0
25993,TADA1,254.0,82.0,78.0,80.0
25994,TADA2A,55.0,69.0,40.0,26.0
25995,TADA2B,269.0,181.0,254.0,83.0
25996,TADA3,575.0,410.0,224.0,259.0
25997,TAF1,207.0,92.0,56.0,123.33099999999996
25998,TAF10,493.0,380.0,334.0,93.0
25999,TAF11,129.0,106.0,96.0,71.0
26000,TAF12,120.0,130.0,101.0,95.00099999999998
26001,TAF13,55.0,62.0,158.0,38.0
26002,TAF15,1216.0,807.0,555.0,309.0
26003,TAF1A,13.0,19.0,46.998999999999995,46.99999999999999
26004,TAF1B,34.0,60.0,26.0,59.0
26005,TAF1C,357.001,185.0,248.0,65.001
26006,TAF1D,117.0,167.0,108.0,136.0
26007,TAF1L,1.062,1.079,0.0,1.513
26008,TAF2,119.0,195.0,128.0,313.0
26009,TAF3,114.0,78.0,61.0,94.0
26010,TAF4,155.0,149.0,156.0,104.0
26011,TAF4B,3.0,57.0,10.0,62.0
26012,TAF5,52.0,52.0,39.0,26.0
26013,TAF5L,190.0,153.0,98.99900000000002,81.0
26014,TAF6,214.0,329.9169999999999,166.0,116.99900000000002
26015,TAF6L,205.905,97.60999999999999,102.32999999999998,75.28299999999999
26016,TAF7L,5.0,9.0,7.0,7.068000000000001
26017,TAF8,128.0,97.0,136.0,119.0
26018,TAF9,158.789,278.971,69.58499999999998,525.9189999999999
26019,TAF9B,153.0,85.0,114.0,176.24199999999996
